names,twitter_handles,locations,tweet
['Roger Ailes'],['@FoxNews'],[],.@FoxNews is no longer the same. We miss the great Roger Ailes. You have more anti-Trump people by far than ever before. Looking for a new outlet! https://t.co/jXxsF0flUM
"[""Norah O'Donnell""]",['@NorahODonnell'],[],"So the so-called HHS Whistleblower was against HYDROXYCHLOROQUINE. Then why did he make and sign an emergency use authorization? @NorahODonnell said ""He shared his concerns with a reporter."" In other words he LEAKED. A dumb @60Minutes hit job on a grandstanding Never Trumper!"
[],[],[],.....mixed about even wanting us to get out. They make a fortune $$$ by having us stay and except at the beginning we never really fought to win. We are more of a police force than the mighty military that we are especially now as rebuilt. No I am not acting impulsively!
['Front Page'],['@washingtonpost'],[],"Wow! The Front Page @washingtonpost Headline reads ""A BOOST IN TESTS BUT LACK OF TAKERS."" We have done a great job on Ventilators Testing and everything else. Were left little by Obama. Over 11 million tests and going up fast. More than all countries in the world combined."
[],[],[],MAGA crowds are bigger than ever! https://t.co/zKxoTBw02v
[],"['60Minutes', 'SecAzar']",[],....spews lies. @60Minutes report was incorrect which they couldn’t care less about. Fake News! I don’t know this guy never met him but don’t like what I see. How can a creep like this show up to work tomorrow & report to @SecAzar his boss after trashing him on T.V.?....
"[""Norah O'Donnell""]","['@60Minutes', '@NorahODonnell']",[],.@60Minutes &amp; third place anchor @NorahODonnell are doing everything in their power to demean our Country much to the benefit of the Radical Left Democrats. Tonight they put on yet another Fake “Whistleblower” a disgruntled employee who supports Dems fabricates stories &amp;...
[],[],[],"Thank you very much to our beautiful 
“boaters.” I will never let you down! #MAGA https://t.co/BiqIqzgOcL"
[],[],"['China', 'United States']",.....are therefore given massive advantages over The United States and everyone else? Prior to the Plague floating in from China our Economy was blowing everybody away the best of any country EVER. We will be there again and soon!
['Joe Biden'],[],[],I’m not running against Sleepy Joe Biden. He is not even a factor. Never was remember 1% Joe? I’m running against the Radical Left Do Nothing Democrats & their partner the real opposition party the Lamestream Fake News Media! They are vicious & crazy but we will WIN! https://t.co/ltdHSmaMYT
['Ron Johnson'],[],[],America is proud of Ron Johnson. He never gives up! https://t.co/tfWXWRuy8q
[],[],[],We’ve done a GREAT job on Covid response making all Governors look good some fantastic (and that’s OK) but the Lamestream Media doesn’t want to go with that narrative and the Do Nothing Dems talking point is to say only bad about “Trump”. I made everybody look good but me!
[],[],[],95% Approval Rating in Republican Party. 51% Plus overall. But you NEVER read or see this in the Fake News Media. Always hearing bad made up numbers on how badly I’m doing. Lamestream Media is unhinged and CORRUPT! https://t.co/ebrufe2ZEQ
[],['@NJTransit'],['NY/NJ area'],I am proud to announce that @NJTransit will receive $1.4B in CARES Act funding to assist in their continued operations and to keep people moving in the NY/NJ area! The LARGEST single Federal transit grant to New Jersey Transit ever. Together we will prevail!
[],[],['Pennsylvania'],Just landed in Pennsylvania see everyone soon! https://t.co/RUAfkv1cOs
['Lindsey Graham'],['@LindseyGrahamSC'],[],If I were a Senator or Congressman the first person I would call to testify about the biggest political crime and scandal in the history of the USA by FAR is former President Obama. He knew EVERYTHING. Do it @LindseyGrahamSC just do it. No more Mr. Nice Guy. No more talk!
['Rick Bright'],[],[],I don’t know the so-called Whistleblower Rick Bright never met him or even heard of him but to me he is a disgruntled employee not liked or respected by people I spoke to and who with his attitude should no longer be working for our government!
[],['@PulitzerPrizes'],[],"Fake @PulitzerPrizes must be taken back. These 
h “journalists” got everything wrong. Give them to the real journalists who got it right! https://t.co/at2oRBwdOS"
[],[],[],Remember this every Governor who has sky high approval on their handling of the Coronavirus and I am happy for them all could in no way have gotten those numbers or had that success without me and the Federal Governments help. From Ventilators to Testing we made it happen!
[],[],[],So interesting to see all of these people I beat so badly pundits & consultants that never had a chance telling me how to run for office. Many are Republicans who should LOVE our 280 new Judges rebuilt Military 2A great V.A. Low Taxes etc. Just don’t like that I beat them!
[],[],[],A great time to have strong Borders and we now have the strongest Borders in our history. 182 miles of Border Wall already built! Dems want Open Borders let EVERYONE IN. No thanks! https://t.co/XdW55c0kKv
['Nancy'],[],[],Then we must be very careful. Crazy Nancy would be a total disaster and the USA will never be a Communist Country! https://t.co/r0tP5dxZ9h
[],[],[],Coronavirus numbers are looking MUCH better going down almost everywhere. Big progress being made!
[],"['@CBS', '@60Minutes']",[],.@CBS and their show @60Minutes are doing everything within their power which is far less today than it was in the past to defend China and the horrible Virus pandemic that was inflicted on the USA and the rest of the World. I guess they want to do business in China!
['Mike'],[],['Washington'],Mike has my complete & total endorsement. We need him badly in Washington. A great fighter pilot & hero & a brilliant Annapolis grad Mike will never let you down. Mail in ballots & check that they are counted! https://t.co/KMS62yCyfl
[],[],[],As you know I designated this day to be a National Day of Prayer. As our Nation heals our Spirit has never been Stronger! https://t.co/WWhvzsSDWq
[],[],[],The Do Nothing Democrats and their leader the Fake News Lamestream Media are doing everything possible to hurt and disparage our Country. No matter what we do or say no matter how big a win they report that it was a loss or not good enough. The Enemy of the People!
,,,Governors should let roads and highway construction begin before heavy traffic starts which will be soon. Some Governors never stopped which proved to be very smart. They built and fixed roads during long no traffic periods. Also saved big dollars!
[],[],[],....get even for all of their many failures. You see these loser types don’t care about 252 new Federal Judges 2 great Supreme Court Justices a rebuilt military a protected 2nd Amendment biggest EVER Tax &amp; Regulation cuts and much more. I didn’t use any of them....
['Ronald Reagan'],[],[],A group of RINO Republicans who failed badly 12 years ago then again 8 years ago and then got BADLY beaten by me a political first timer 4 years ago have copied (no imagination) the concept of an ad from Ronald Reagan “Morning in America” doing everything possible to....
